date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,txf_open,txf_high,txf_low,txf_close,txf_volume,tse_open,tse_high,tse_low,tse_close,tse_volume,PutCallVol,PutCallRatio,TsmcF,Tsmc3
2025/9/1,-7666900296,-3059842787,-249,-26664,-2952,2225,24120,24245,23847,24008,82254,24143.37,24312.83,23885.41,24071.73,5090.75,93.38,103.3,2414,2309
2025/9/2,7786239530,-6102683470,2335,-24295,1111,3472,24083,24249,23879,23965,78953,24113.9,24295.03,23890.33,24016.78,4096.42,106.96,105.82,1153,1061
2025/9/3,8199762036,-637699825,-491,-24788,-2056,1785,23966,24083,23888,23997,57816,24036.88,24103.23,23925.49,24100.3,3657.01,115.28,124.44,1143,728
2025/9/4,11808136125,-1545453579,1287,-23503,1067,2742,24195,24365,24113,24132,78433,24235.27,24389.35,24168.16,24179.85,4409.98,123.25,138.23,6852,6648
2025/9/5,28281116909,-433975608,2067,-21304,6791,9902,24363,24429,24286,24419,55821,24244.26,24494.58,24244.26,24494.58,4163.99,125.24,147.8,11888,12089
2025/9/8,14618525216,-1220126071,-748,-21999,-78,9749,24588,24674,24518,24551,58765,24610.85,24729.96,24547.38,24547.38,4335.58,121.31,163.05,12400,12556
2025/9/9,35653694959,-1782067231,1515,-18792,4513,8282,25404,25450,25269,25353,89375,24650.46,24880.07,24650.46,24855.18,4927.01,125.76,177.85,13808,14688
2025/9/10,48947944283,-2727385240,791,-17813,4591,12978,24970,25244,24961,25178,70661,25032.88,25272.23,25032.88,25192.59,5234.64,109.14,167.18,14653,16094
2025/9/11,32999661731,-6271656501,405,-16317,1305,9432,25386,25464,25176,25240,73339,25509.3,25541.44,25174.13,25215.71,5891.72,98.11,135.94,10036,8529
2025/9/12,26538500007,-5810072034,-2279,-18558,-180,9277,25418,25466,25350,25459,55444,25349.7,25492.28,25349.7,25474.64,4818,118.07,153.67,10814,11208
2025/9/15,2546248589,-8246829092,-267,-18896,-2842,6402,25404,25450,25269,25353,89375,25494.1,25519.94,25284.17,25357.16,3974.48,109.83,140.5,-836,-944
2025/9/16,27003531062,-4513790695,667,-18244,-706,5865,25420,25663,25410,25629,76338,25335.46,25664.81,25335.46,25629.64,4420.91,121.89,163.97,13671,12050
2025/9/17,-5734012058,-5314277279,-3375,-18862,-5270,-1740,25556,25583,25402,25433,30625,25543.91,25632.07,25422.96,25438.25,4283.01,86.41,131.41,-4367,-4348
2025/9/18,12153720716,-4987795065,203,-18552,2117,699,25623,25747,25490,25709,60615,25543.17,25769.36,25475.25,25769.36,4553.09,110.86,146.98,907,1732
2025/9/19,-15745036443,-1937327805,832,-17603,-667,-139,25850,25853,23636,25670,59244,25794.66,25864.01,25578.37,25578.37,5974.85,101.85,125.01,-8573,-9210
2025/9/22,-6650808558,-5264117265,294,-17239,1522,1828,25756,25941,25689,25891,57516,25599.6,25887.69,25599.6,25880.6,4697.3,115.81,144.59,2745,3686
2025/9/23,10638719207,-1569628564,922,-16200,1958,3939,26058,26328,26023,26273,77069,26121,26307.3,26041.69,26247.37,5290.21,104.79,165.02,3311,3791
2025/9/24,-12950186461,-8566887088,-3522,-19917,-6234,-2665,26376,26393,26072,26237,71446,26389.16,26394.03,26045.47,26196.73,4977.11,100.75,137.12,-4744,-3021
2025/9/25,106720086,-1741264243,-785,-21779,-1562,-147,26191,26283,26087,26097,55994,26067.97,26247.85,26023.85,26023.85,4888.01,98.19,122.02,-8113,-6221
2025/9/26,-25157852509,-5652013477,-3305,-25119,-4780,-5022,25944,25991,25500,25669,95718,25998.28,25998.28,25469.04,25580.32,4797.01,94.78,103.73,-3002,-1955
2025/9/30,6550967708,696563422,3030,-21930,4615,-94,25800,26046,25797,25954,58862,25738.31,25975.84,25738.31,25820.54,4285.19,116.74,133.67,673,2863
2025/10/1,12664964009,633133899,-444,-22349,817,787,26094,26375,26000,26045,77280,26078.29,26325.79,25982.91,25982.91,4557.01,107.89,139.96,8448,10069
2025/10/2,23409818512,237157488,-950,-23187,2427,3591,26459,26527,26381,26431,57057,26392.31,26489.79,26330.25,26378.39,4896.76,107.04,144.71,6925,8839
2025/10/3,16959990133,-1689575342,2268,-20852,3269,6913,26480,26764,26388,26745,68029,26435.1,26761.06,26410.03,26761.06,4630.9,101.32,146,863,1399
2025/10/7,676562801,-6712400915,-2752,-23701,-3811,2794,27202,27356,26995,27322,70532,27029.28,27301.42,27017.08,27211.95,5562.01,118.49,160.75,-12226,-9906
2025/10/8,-14094387269,-4346217344,-5692,-30405,-8018,-1897,27061,27127,26912,27093,58514,26999.82,27110.43,26883.99,27063.68,4525.01,92.51,139.9,-9910,-8277
2025/10/9,4451256397,-2371509167,1489,-28752,3970,2195,27440,27455,27273,27335,71155,27301.61,27463.12,27253.07,27301.92,5643.3,104.67,139.67,-1502,37
2025/10/13,-56312754939,-727586554,-4093,-33061,-3645,-1556,26450,26945,26390,26904,112620,26762.6,26965.72,26470.44,26923.42,5839.69,97.41,116.95,-18979,-15324
2025/10/14,-16348769283,-1875833093,5562,-27444,3265,1686,27269,27450,26716,26718,122162,27282.1,27507.16,26764.06,26793.15,6831.69,101.49,108.48,-1162,-1269
2025/10/15,-15100216875,-1037201550,2715,-21671,2001,4354,26850,27191,26775,27156,45269,26911.05,27275.71,26773.15,27275.71,5001.09,102.43,127.43,206,2335
2025/10/16,12959197265,200305686,-343,-22035,-2697,1788,27545,27877,27450,27822,93889,27337.32,27732.78,27337.32,27647.87,5465.58,101.12,119.05,-6983,-3282
2025/10/17,-21997157761,-5764756289,-2013,-25586,-4597,2641,27251,27545,27244,27328,70093,27399.91,27513.09,27302.37,27302.37,5329.44,89.17,104.89,-12682,-12138
